song_name,artist_name,Danceability,Energy,Speechiness,Instrumentalness,Tempo
LALA,Myke Towers,0.708,0.737,0.0436,0.00162,91.986
vampire,Olivia Rodrigo,0.511,0.532,0.056,0.0,137.827
Cruel Summer,Taylor Swift,0.552,0.702,0.157,2.06e-05,169.994
I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,0.694,0.764,0.0337,0.0,123.044
Ella Baila Sola,Eslabon Armado,0.668,0.758,0.0332,1.89e-05,147.989
WHERE SHE GOES,Bad Bunny,0.652,0.8,0.0614,0.629,143.978
La Bebe - Remix,Yng Lvcas,0.812,0.479,0.333,1.21e-06,169.922
Sprinter,Dave,0.916,0.583,0.241,0.0,141.095
Columbia,Quevedo,0.668,0.712,0.0381,2.13e-05,100.02
Flowers,Miley Cyrus,0.707,0.681,0.0668,5.15e-06,117.999
Daylight,David Kushner,0.508,0.43,0.0335,0.000441,130.09
un x100to,Grupo Frontera,0.569,0.724,0.0474,0.0,83.118
As It Was,Harry Styles,0.52,0.731,0.0557,0.00101,173.93
Super Shy,NewJeans,0.776,0.817,0.0748,3.44e-05,149.921
Back To December (Taylor's Version),Taylor Swift,0.497,0.635,0.0273,0.0,142.063
fukumean,Gunna,0.847,0.622,0.0903,0.0,130.001
Kill Bill,SZA,0.644,0.735,0.0391,0.144,88.98
Enchanted (Taylor's Version),Taylor Swift,0.505,0.532,0.0265,0.0,81.907
Cupid - Twin Ver.,FIFTY FIFTY,0.783,0.592,0.0331,4.15e-06,120.018
Mine (Taylor's Version),Taylor Swift,0.646,0.783,0.0356,1.38e-06,121.08
Classy 101,Feid,0.859,0.658,0.159,0.0,100.065
LADY GAGA,Peso Pluma,0.646,0.736,0.0449,0.0,140.098
MOJABI GHOST,Tainy,0.805,0.707,0.0353,3.71e-05,122.014
Sparks Fly (Taylor’s Version),Taylor Swift,0.588,0.758,0.0305,0.0,114.991
I Wanna Be Yours,Arctic Monkeys,0.464,0.417,0.0256,0.022,67.528
SABOR FRESA,Fuerza Regida,0.785,0.863,0.0893,0.0,130.132
Speak Now (Taylor's Version),Taylor Swift,0.727,0.677,0.0325,0.0,118.995
Better Than Revenge (Taylor's Version),Taylor Swift,0.496,0.885,0.0803,0.0,145.863
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,0.854,0.668,0.0466,5.61e-05,132.966
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,0.855,0.678,0.189,3.69e-05,99.029
Dear John (Taylor's Version),Taylor Swift,0.419,0.47,0.0296,0.0,119.294
Style,Taylor Swift,0.598,0.786,0.0383,0.0016,95.019
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,0.715,0.62,0.0484,0.0,97.95
Blank Space,Taylor Swift,0.753,0.678,0.0644,1.64e-06,96.006
Calm Down (with Selena Gomez),Rema,0.799,0.802,0.0371,0.00128,107.008
Los del Espacio,LIT killah,0.813,0.682,0.0402,0.0,120.011
Last Night,Morgan Wallen,0.492,0.675,0.0389,0.0,203.759
TQM,Fuerza Regida,0.786,0.853,0.0589,0.0,125.107
TQG,KAROL G,0.72,0.63,0.277,0.0,179.974
TULUM,Peso Pluma,0.557,0.866,0.0503,0.0,167.767
Anti-Hero,Taylor Swift,0.637,0.643,0.0519,1.8e-06,97.008
Like Crazy,Jimin,0.629,0.733,0.0419,0.0,120.001
El Azul,Junior H,0.558,0.648,0.055,7.76e-06,143.876
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.755,0.522,0.0575,0.0,89.96
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,0.576,0.57,0.0434,0.0,147.803
The Story Of Us (Taylor's Version),Taylor Swift,0.515,0.781,0.0535,0.0,139.846
Die For You,The Weeknd,0.586,0.525,0.0615,0.0,133.629
Die For You (with Ariana Grande) - Remix,The Weeknd,0.575,0.5,0.0707,0.0,67.033
See You Again (feat. Kali Uchis),"Tyler, The Creator",0.558,0.559,0.0959,7.49e-06,78.558
Angels Like You,Miley Cyrus,0.672,0.642,0.0313,0.0,121.981
